ts_week,KOSPI,ln_KOSPI,D_ln_KOSPI
1988w2,563.20667,6.3336466,0.05208575
1988w3,582.72333,6.3677125,0.03406587
1988w4,602.96833,6.4018647,0.03415216
1988w5,638.81,6.4596071,0.05774239
1988w6,641.43,6.4637001,0.00409299
1988w7,647.26,6.4727481,0.00904801
1988w8,659.51,6.4914971,0.01874907
1988w9,620.386,6.4303419,-0.06115527
1988w10,612.872,6.4181561,-0.01218576
1988w11,619.35667,6.4286813,0.0105252
1988w12,630.71833,6.4468594,0.01817808
1988w13,639.56667,6.4607909,0.01393148
1988w14,655.688,6.4856851,0.0248942
1988w15,645.7,6.470335,-0.01535007
1988w16,637.34167,6.4573059,-0.01302912
1988w17,633.834,6.4517871,-0.00551879
1988w18,648.26,6.4742919,0.02250476
1988w19,639.4,6.4605302,-0.01376161
1988w20,666.50833,6.5020526,0.04152241
1988w21,703.154,6.5555759,0.05352329
1988w22,718.39167,6.5770149,0.02143899
1988w23,732.178,6.5960237,0.01900874
1988w24,718.19333,6.5767388,-0.01928485
1988w25,701.67333,6.553468,-0.02327084
1988w26,691.35333,6.538651,-0.01481693
1988w27,704.60333,6.557635,0.01898397
1988w28,695.30167,6.5443458,-0.01328919
1988w29,675.48667,6.5154334,-0.02891239
1988w30,704.55333,6.557564,0.04213061
1988w31,710.33833,6.5657414,0.00817735
1988w32,691.85333,6.539374,-0.0263674
1988w33,708.362,6.5629553,0.02358128
1988w34,693.74667,6.5421069,-0.0208484
1988w35,670.76,6.5084114,-0.03369546
1988w36,671.53333,6.5095637,0.00115226
1988w37,684.085,6.5280822,0.01851852
1988w38,669.46,6.5064714,-0.02161076
1988w39,673.4,6.5123395,0.00586809
1988w40,677.0375,6.5177267,0.00538716
1988w41,678.47167,6.5198427,0.00211606
1988w42,716.33167,6.5741433,0.05430056
1988w43,751.495,6.6220646,0.04792127
1988w44,740.655,6.6075349,-0.01452963
1988w45,763.01667,6.6372799,0.02974494
1988w46,763.27333,6.6376162,0.00033633
1988w47,787.70667,6.6691258,0.03150957
1988w48,823.68167,6.7137841,0.04465836
1988w49,852.32333,6.747966,0.03418183
1988w50,905.20333,6.8081596,0.06019364
1988w51,902.65833,6.8053441,-0.00281548
1988w52,889.76333,6.7909555,-0.0143886
1989w1,919.2225,6.8235282,0.03257269
1989w2,894.105,6.7958232,-0.02770499
1989w3,872.00833,6.770799,-0.02502424
1989w4,863.72,6.7612486,-0.00955034
1989w5,884.05333,6.7845174,0.02326875
1989w6,888.905,6.7899904,0.00547298
1989w7,899.47833,6.801815,0.0118246
1989w8,919.505,6.8238355,0.02202052
1989w9,916.004,6.8200207,-0.00381475
1989w10,939.65,6.8455075,0.02548673
1989w11,980.31,6.8878688,0.04236138
1989w12,983.325,6.8909397,0.00307084
1989w13,989.225,6.8969218,0.00598212
1989w14,990.106,6.897812,0.0008902
1989w15,948.865,6.8552665,-0.04254547
1989w16,954.08,6.8607475,0.00548099
1989w17,940.48,6.8463904,-0.01435714
1989w18,942.354,6.848381,0.00199062
1989w19,946.25,6.8525068,0.0041258
1989w20,929.72167,6.8348853,-0.01762155
1989w21,932.31333,6.837669,0.00278369
1989w22,931.17667,6.836449,-0.00121993
1989w23,898.232,6.8004284,-0.03602063
1989w24,920.78333,6.8252248,0.02479637
1989w25,896.10833,6.7980613,-0.02716344
1989w26,865.65333,6.7634845,-0.03457679
1989w27,871.75833,6.7705122,0.00702772
1989w28,887.87667,6.7888328,0.0183206
1989w29,898.928,6.8012029,0.0123701
1989w30,895.20333,6.7970509,-0.00415206
1989w31,893.11667,6.7947172,-0.00233366
1989w32,911.16167,6.8147203,0.02000312
1989w33,905.872,6.808898,-0.00582233
1989w34,935.47167,6.8410509,0.03215284
1989w35,979.10167,6.8866355,0.04558463
1989w36,965.17333,6.8723077,-0.01432778
1989w37,961.55,6.8685466,-0.00376114
1989w38,941.44167,6.8474124,-0.02113418
1989w39,932.69833,6.8380818,-0.00933057
1989w40,924.995,6.8297883,-0.00829349
1989w41,929.254,6.8343821,0.00459378
1989w42,913.71,6.8175132,-0.01686888
1989w43,896.71167,6.7987344,-0.01877887
1989w44,890.46333,6.7917419,-0.00699244
1989w45,899.85833,6.8022373,0.01049542
1989w46,908.57333,6.8118756,0.00963826
1989w47,894.545,6.7963152,-0.01556039
1989w48,898.31667,6.8005226,0.00420743
1989w49,874.66333,6.7738391,-0.02668359
1989w50,901.32333,6.8038641,0.030025
1989w51,929.50667,6.834654,0.03078993
1989w52,909.72,6.8131369,-0.02151712
1990w1,916.345,6.8203929,0.00725607
1990w2,908.5,6.8117949,-0.00859804
1990w3,876.14333,6.7755297,-0.03626519
1990w4,899.685,6.8020447,0.026515
1990w5,886.80833,6.7876289,-0.01441583
1990w6,879.985,6.7799049,-0.00772401
1990w7,869.96167,6.7684491,-0.01145571
1990w8,853.07667,6.7488494,-0.01959973
1990w9,864.148,6.7617441,0.01289463
1990w10,854.146,6.7501021,-0.01164191
1990w11,840.565,6.7340743,-0.01602785
1990w12,844.07667,6.7382433,0.00416904
1990w13,832.16,6.7240247,-0.0142186
1990w14,830.986,6.7226129,-0.00141178
1990w15,807.39167,6.6938089,-0.02880406
1990w16,778.48167,6.6573454,-0.03646345
1990w17,748.88,6.6185788,-0.03876668
1990w18,735.065,6.5999589,-0.01861983
1990w19,777.42833,6.6559915,0.05603253
1990w20,753.465,6.6246826,-0.0313089
1990w21,784.06333,6.6644898,0.03980723
1990w22,793.07167,6.6759136,0.01142379
1990w23,806.01,6.6920961,0.01618256
